hand,S,H,D,C,HCP,opening
QC 5C KC 7S 3H 6H JD 5S 3C QD 6D 5D 7H,2,3,4,4,8,PASS
6H JS 6S 5C QH 9S 8S QS JH AS 2H 7C TD,6,4,1,2,10,1S
8H AC QD 7D QH 2H 8C KH JC AS 7C AD 3D,1,4,4,4,20,1C
TD 6S JC 2D 3D TH 2S 4C 8D 4D QH 6H 5S,3,3,5,2,3,PASS
KD 9S 7H 6D KH JH KS 5C 2D 5S 3C 4H TD,3,4,4,2,10,PASS
7D 5H KC 9C AC JD TC QC 4C 4D KH QS 7C,1,2,3,7,15,1C
7S 3H 5D 4C KS 5C 6C QD 3S 5S 6D AC 3D,4,1,4,4,9,PASS
AS 4S 3C 9D 2C 9H QC 3S AC 2D 6D 7D 8C,3,1,4,5,10,PASS
KS 2C 7D 7S JD 5D 3C 4D JC KH 4C 3H 5H,2,3,4,4,8,PASS
QD 7S QC 5D 9C TH 3S 6C 7C 3D AH 8H 6H,2,4,3,4,8,PASS
3H AC 7H 3D 2C TD 7C 9D QD 4C 4S 8D KD,1,2,6,4,9,PASS
9D KS 2H 8D AC KD 6S 6C 3S 7S QS 2C TC,5,1,3,4,12,1S
3H 7S JD 4D 4S QS 9C 6S TH 8D QH 8C QD,4,3,4,2,7,PASS
3C 9C 3S TD JC 7D 8C QD 5D TC 6S 7C 4S,3,0,4,6,3,PASS
JD 7H KC 2H QS 4C QC 7S JS KH JC TD 9D,3,3,3,4,13,1C
6D 8D KH 3S 9H JS AS 6H TH 8S 6S 7C 7H,5,5,2,1,8,2C
7S 5H KH QD KC JS 3H 3D 9S AH 4C TS TC,4,4,2,3,13,1C
AS 7C KS 7S 9S KH 9D 5S TD 9C JS 7D 6C,6,1,3,3,11,1S
KC 9C 4D AD 9H 7D 4S TH 8D KD 4H 7C 8S,2,3,5,3,10,PASS
QD 7H KS 5C 9S 8S AC 6S 4H 2C 8H 6H 5S,5,4,1,3,9,2C
2C 4S 3H JS 8S KD AC TS 3C AH QS 4C 9D,5,2,2,4,14,1S
7H QD 3S 6D 9S AD 8S JS TH TC 5C AS 4H,5,3,3,2,11,PASS
7D TD JD 8D 9D 5H 4C 3H 3S KD 6S 4D 7S,3,2,7,1,4,PASS
TH QC AC KH KD JC AS 8S KC JD JS TD TC,3,2,3,5,22,1C
5D TH 6S 2C 6H JC KH TC 8H 6D 5C TD 8S,2,4,3,4,4,PASS
TH 2S 6D 6H 9D 7S KH TC JH QS QC 8H QD,3,5,3,2,10,PASS
2C TS TD QH 4D 9S JH 4H JS JC AD 6D 4S,4,3,4,2,9,PASS
TC 3C 5C 3D TD 6C JC AH 2D 7H 2C AD 4H,0,3,4,6,9,PASS
2S 4S 3H AH AD 2D JD 9H 8C JH 8S 2C 7S,4,4,3,2,10,PASS
KS 3H JS 2C 7H 8H 8D TH JC 7S 7C 5S 6H,4,5,1,3,5,PASS
3C QS 3D 5C JC 2H 3H AC 7S JS QD AH QH,3,4,2,4,16,1NT
2C 6S 2D KD JS KC 2S 4S AD 3S 8S 9S KH,7,1,3,2,14,1S
4D KS 8H 9C 2C TC 4C AC JH 3S 6D 7C KC,2,2,2,7,11,1C
6C 6S KS 5S AD 6H KC 4D QD 5C 4H 8D 9D,3,2,5,3,12,1D
5C AD 9D AS 6C AC QD 8D KS KH 4D QS 4C,3,1,5,4,22,1C
QD AS 5H 6H 9H TD 9C 6D 6S KS 8C 6C 5D,3,3,4,3,9,PASS
7C TC QC AC 6S 8H QS 9S 4S QD 2C 3C 6D,4,1,2,6,10,1C
AS KH QH 8D QC 8H 2C 5S AH TD 3H 3D 8C,2,5,3,3,15,1H
9S 7S JH 8S JD 4S 2C 3H KS 5D KD 2D 6C,5,2,4,2,8,PASS
9C 8C TC 9D 7H TH 8S JH AH 4H 9H 2D 6H,1,7,2,3,5,PASS
9H 5H 4H 7C 7H QH KH 8H AC 3D 9S 5C 6C,1,7,1,4,9,1H
2D JS 5C 5H TS 4C 2C JD 3S 4S 7C KH QC,4,2,2,5,7,PASS
AH 2C JS AC 5D 7S QS 3H 2S 2H KD KH 4S,5,4,2,2,17,1S
JH 3S 9S 8H 5D TH AD 9D 3C 2D 4S 4H 4D,3,4,5,1,5,PASS
2C 2S QC KH KS TS KD 4H JD 7H 3D 8H 8S,4,4,3,2,12,1C
TH 2C 5H 3S 7S 6S 3H AS 3D AD QH 8D 5D,4,4,4,1,10,PASS
QH TC 4C 3H 6S 4D 5S 3D 2D KC KS 9D JH,3,3,4,3,9,PASS
6C 3C AH AS 9H JD JS 7S 7H TD 2S 2D QS,5,3,3,2,12,1S
5H JC 2S QH 5C 4D 5S 8D AD TD 6D 8S 4H,3,3,5,2,7,PASS
AC KH TH 4H 6C JC QH 6H QS KS TD JD 3S,3,5,2,3,16,1H
JH 9S TD TH 2C AH TC 7S 4H 7H 8C 5C 6H,2,6,1,4,5,PASS
5C JD JS 9C TD 4C QD 8H 7H 2D 2H 6H 9H,1,5,4,3,4,PASS
9S KC 3S TS AC 7D 7H JD QC 8C 4C KD TD,3,1,4,5,13,1D
6H JH 2S 9H 8C 4C 3D AC AS 9S JD TH 4S,4,4,2,3,10,PASS
2D KD TC QH AD AC 9D 7S 5D QC TS 2C 8S,3,1,5,4,15,1D
JS 5H 4H QD 9D JD AS 9H 9C 4S TS AC 8D,4,3,4,2,12,1D
8D TD KH 5S QH AD AC 6H 8S 4C 8H 2D 9S,3,4,4,2,13,1D
5S 8H 6D 3H 5H 2H 6S JC 2S JS KC QS 7C,5,4,1,3,7,2C
5S AD JH 6D AC 8D 3S 8H 2S TD KD 4H TH,3,4,5,1,12,1D
QS 3D AD 4D 4C 9C TS 6D 6S TC 4S 5S 7C,5,0,4,4,6,PASS
3H 7C KH 8C 4C 4D 7D 4S KS 6S AC 2D 9D,3,2,4,4,10,PASS
7H QS 3C 3H QD 2D TH KD 9D 2S 8D JS QH,3,4,5,1,10,PASS
TH QS 9D 3C 4D 7S JS 5C 5H 7D JD JH 2C,3,3,4,3,5,PASS
AD JS 4S 8D 6S TS KS 4D QS 3D 9H JH 3C,6,2,4,1,11,1S
7H 9C 7D 8D JC QH 9S KD 4D TD KH AC 2S,2,3,5,3,13,1D
9C 5D KD QS 8H TS 3H AS 7S 8C 6C KS 4S,6,2,2,3,12,1S
9D QH JC 5S 3H 2H AC 5C QC 7H 6C AH 6S,2,5,1,5,13,1H
TS TH 8D TD 8C 9D QS AD 2D 4C 3C QC JD,2,1,6,4,9,PASS
7S 9C KS JC 9D 5H 2S TD 7D 6D KC 6S 2C,4,1,4,4,7,PASS
KH 9D QD AC 5H 2H QH QS JC 5D 2C 8H 3D,1,5,4,3,14,1H
JH AC KH 2C 8D QH TC 9C 9H 3C 7S 7C TS,2,4,1,6,10,1C
3D QC 8H JC TD 6H QH 8S 2S 5D 4D 4H 5S,3,4,4,2,5,PASS
AD 5C 5D 4H 4C 6S TC 6H 7D 3H 7H TD 8S,2,4,4,3,4,PASS
5H 8S TD 6S 2S 8C KH TH 3D QH 4D AH 3S,4,5,3,1,9,2C
QC 4C 5H 4H 9C TD 2S JS 2C 2D 5S 5D 9H,3,3,3,4,3,PASS
4S 3D 2C 3H TC 8S 8H 6D TH 4H KS 9C 9D,3,4,3,3,3,PASS
3D 5H 2H AC 6H 5D 2C KH AD 3H 7D 4C JC,0,5,4,4,12,1H
4S 2C TH JD 5H QC KS TD QH 2S 9C JH 5C,3,4,2,4,9,PASS
4D 8H QC KS 4C 8S JD 4S 2H 7C 6C 7D 5D,3,2,4,4,6,PASS
6S 7H KS 4C TC JH 8D QH 3H 9D 4S AH 9C,3,5,2,3,10,PASS
TC 6C AH 3C AC 6S JS 7H KS QD 4D JD 3D,3,2,4,4,15,1NT
KD 6D 9S 6H 5C 2C 8C QH 5S KH 2H 9C 6C,2,4,2,5,8,PASS
2D 9S QS 5S TD 3S 9D 4C 4S 3C 9H TH 6H,5,3,3,2,2,PASS
6D AH QH AS 6C 5S 6H 4S QC 3D 8S KC AC,4,3,2,4,19,1C
4H QS 5S TD QC AH KD 8D 5C 3S 4D 8C 7D,3,2,5,3,11,PASS
5S 2C 9S 6H 8H AS 4H 8S 6D 2S KC KH 3D,5,4,2,2,10,2C
4C 8S QC 3S 6H 2C TC 6D 5D 5S 7H 2S KS,5,2,2,4,5,PASS
QD AC 2C 7C 7D 6H 9H TC JC 3H 6D 9D TH,0,4,4,5,7,PASS
9S 9D TD QD 6D JS 4S 3D 5C AD 5S 9C 6S,5,0,6,2,7,PASS
AH 2C 3D 5H JD JH TS 8C 3C TC AC 2H 8H,1,5,2,5,10,1H
2C 3D 8D TH 6S JD 8C 4C 9C 2D 7D 4H AH,1,3,5,4,5,PASS
3S 6D 9S 5H 6H QC KC 4D 3C 5C 8S 4S 5S,5,2,2,4,5,PASS
QD 6S 3C 5D 6H 7S TC 7C 9H QH 3D AS 2D,3,3,4,3,8,PASS
6H QD JD 9S KH 7S AH 7D QC 9H 4D 5H KC,2,5,4,2,15,1H
8D 5D KS QS JH 2H 6H JC 6D 5C 2S TD JD,3,3,5,2,8,PASS
QC 4S 9D KS 5D JC QD 8S TC 4H KH KC 3H,3,3,3,4,14,1C
7C TS AS 3D 7S 3C 2S 5H 5S 5D 9S AC KS,7,1,2,3,11,1S
3S KC 6D 9S 6C 2D QH TC 3C 7D 5D KD 5C,2,1,5,5,8,PASS
QC 8H 3S 5H 2H QD 4C KD 5D 5C JH TS 9C,2,4,3,4,8,PASS
9H KS 5H TS 3C QH 7C 4S QC 5D 9C 4H AD,3,4,2,4,11,PASS
KD JC 9C 2S JH TD 3C 2H KC 3D 5H 7C 2C,1,3,3,6,8,PASS
8C 5C QH 7S 9H 5S QS 3H 6H AH KC 7C 6S,4,5,0,4,11,1H
3D QH AH QC 3H 2S 5H JC AS TD KS 2D KD,3,4,4,2,19,1C
8H JS KC TS 2H 8S 6H 7S 5D 9C AH 2D 5C,4,4,2,3,8,PASS
7C KS 8D 3C 5C 2D 6D 9S AD 6H 5H JS KC,3,2,4,4,11,PASS
2H 5D KH 4C KC KD 4H 2S 4D JC KS JS 6D,3,3,4,3,14,1D
JC JD QH 8C 6C TC JH 3S 5S 9D 6D 9S 7C,3,2,3,5,5,PASS
KS TS 2C JH TH 8S 7D 5D KC 8H QS 3H 5C,4,4,2,3,9,PASS
2S 4D 2C 5C QH 8C KD JS 3D TS 2H TC 9S,4,2,3,4,6,PASS
3S 6S 9S 5S QC AS JS 2S AD 6C 3H QS 9D,8,1,2,2,13,1S
5S 7H 2D 5C 4D 4C JC TC 5H QC JH AH 9C,1,4,2,6,8,PASS
JS 7D 6C 7C KH 6S 3D 9H 3C 2C AH 4D KD,2,3,4,4,11,PASS
4C 7S 5S 2H 8H TD 8C 7H 2S 6S KD QC 9H,4,4,2,3,5,PASS
5S 3C 7D JH 3S 8C 2D 7S 9D 6H QH AS 6S,5,3,3,2,7,PASS
QD 5D 4H 6H 7C QC 8S JD JS 8D TH 3C 6S,3,3,4,3,6,PASS
AH 7C 3D TC 7S JH 8S KH TH 9S QH 5S 4D,4,5,2,2,10,2C
TS KH 8H QS QC 7S 2C 9D JC 4H JS QD 8D,4,3,3,3,11,PASS
8D 4H 7H 6S 5C 7C 5S JH JS 2H TD 3H 7S,4,5,2,2,2,PASS
QC QD 5S 6S AS TD 4C 3D 5C 9D QS TC 2S,5,0,4,4,10,PASS
4D 5H 9H 7H 6H JS 9D 8H 2D QS 4H KH 2C,2,7,3,1,6,PASS
6H AD QC 4C 3H AS 8S KC TD JS 7S JC AH,4,3,2,4,19,1C
3S 3D 9C KS 6C QH KH 8S 5S 4D 2D AS 7C,5,2,3,3,12,1S
JS 5S 7C 3S KD 7D 2C 2H QS TS 6C TH AH,5,3,2,3,10,PASS
6D 2D 4C 9H 5D 4D KS KD 5S 9C 4S 2S 7S,5,1,5,2,6,PASS
KH 9C 3D 9H JH KD 6S 8D 3H 5S 7C 7D 5H,2,5,4,2,7,PASS
AH 8D 2S QC 4S 8H 7D 4C TC 2C 2H 9C 5H,2,4,2,5,6,PASS
2D 4H KD AD 9C 9S KH 2H JS 5C QH 9H QD,2,5,4,2,15,1H
8H KD 7D 5S 7C 2H 3C JD TD QD 4H 9C 3D,1,3,6,3,6,PASS
QD 2C JC AH AS KS 3C TD 5H QH 8H 2S 7S,4,4,2,3,16,1NT
KD QS 8H QC 5H KC AS 6S AD TH 8C QH 2C,3,4,2,4,20,1C
7H 8S TH AS JD 4S 6D 9S 2D KC QS JH 4D,5,3,4,1,11,1S
QD 5S 4C 6D 7D 9S AC KD TC JD 4S 3S KS,5,0,5,3,13,1S
4D KH 7S 2D 2H KD JH 3H 5C 9S 6C KS JS,4,4,3,2,11,PASS
3C 3H TD 9C 8H AS 2C TH 3S 3D 5S AH 9D,3,4,3,3,8,PASS
2D AC JC 7S JS 5D 9D 2S JD 8S 9C 8C TH,4,1,4,4,7,PASS
6S 8S 6H 5C KS QC KC AD 9D KD QD 3C 2H,3,2,4,4,17,1NT
3D 9S 8C KD KH 2H 3H 5C JC KS KC 3S JD,3,3,3,4,14,1C
9D 9H KS 2C 6H TC 5D 9C 7C AH 3D JH 5S,2,4,3,4,8,PASS
2C 6H KC 5S 4H QH 3S AS 9C 4S JS 3D 4D,5,3,2,3,10,PASS
2C 6H 5C TS 3H 8C 3C JH AC 7C QH JS AS,3,4,0,6,12,1C
AH 9H 2H KC 3S 4C 9S 4S 5H 7H 3H 5S AS,5,6,0,2,11,1S
8D 5S QC 6H 7S 6C 8H QH 3C 4D KS 2S TH,4,4,2,3,7,PASS
2S TH AC 5H AD 9H 7S 2C 7H KS 6D 8S 9S,5,4,2,2,11,1S
7D 3S KC 7H 6H JS AD 5D 7S 6C 9H 4D AH,3,4,4,2,12,1D
8D 2D AC 2S 2C 7H 6C 5D 3C 8H JH 5H 9H,1,5,3,4,5,PASS
4H JC 3D 5H 2D 5S 6H AD 9H KH 4S 9S JS,4,5,3,1,9,2C
5C 7S 3D KD 9C 9S AS 3C QH JS 3S 7D 5S,6,1,3,3,10,2D
AD JS 6D 8S 2C 3D 8C 7S 2D 4H 3S KS 2S,6,1,4,2,8,2D
QS 2D KC 6D QD 5S JS TD 7H JC 3S 9H AC,4,2,4,3,13,1D
6D JC 9C 9H 2C 7D 5S TC 3S 5C AH QH 4H,2,4,2,5,7,PASS
QS JH 3S 8S 4S 4D 5H 8H KH 3C 9C AS 5C,5,4,1,3,10,2C
3C QS 8C 7H AC 7D 4D 3H 5C 9H TS JC JD,2,3,3,5,8,PASS
AD JH 6D JD 7H 2S 2H AS 8S 2D TD 5H 7S,4,4,5,0,10,PASS
3D 3S KH TH 9S 8C 8D 6D 7D 3C 8S QS 3H,4,3,4,2,5,PASS
6D QS 6S JD JC AH KH 6H KC 3C KS 9H 8C,3,4,2,4,17,1NT
QC KC 5S JC 7C 8C 3S 2H 9D AH 8D QD 7D,2,2,4,5,12,1D
JC JD JS 6S 3H 7D AS 2S 7S AH 3C TD 8C,5,2,3,3,11,PASS
JD 8S 3H 9D 2D AD QD 8D 7H 4S TC QH 2C,2,3,6,2,9,PASS
AC 2H 4S JD 6D QS 5H 2D 9H 6C JH 6H QD,2,5,4,2,10,PASS
TC KH 2S 8D 4H 7H QH 5C 6D KC 7C 9D JC,1,4,3,5,9,PASS
KS 8D 9S 9D KC 8S 9C JS 4H 2D 8C 5S 3D,5,1,4,3,7,PASS
2S 4D 3S 7C 8S 5S TH AS 8D 6D 3D JS AD,6,1,5,1,9,1S
4D 7S 8C 6H 4C TH JS AH 4S 9S AC 5S 3H,5,4,1,3,9,2C
3S AC 4S 7C 7S JS TC 3C QH 6H 2H 3D 6D,4,3,2,4,7,PASS
4S 8S AH TS 6S 5H 7H 2H 4H 9S QD KD AS,6,5,2,0,13,1S
5C 6S 8H 2H 3C JD 7D KS 9H 4D AH 8D KH,2,5,4,2,11,1H
9S 8H 2C JH 6C JD QD TS 7S 9C 3C AD AC,3,2,3,5,12,1C
8H TH 7H 7S 5S 2C 9D QH 6H 6S TD JH TC,3,6,2,2,3,PASS
5D KC 8D 9D 8H QH 7C QC 7S TD 4C 9S 5C,2,2,4,5,7,PASS
8S QD KS 9D 3S 2D TH 3D 5D 9C 4H 6C 4D,3,2,6,2,5,PASS
JH QH TD 4D QS 5C KC QD AD 9S 7D 7H KS,3,3,5,2,17,1NT
3C 8D 6S 8S 9D QC TD 7C 2C 6C 2D 4D KD,2,0,6,5,5,PASS
QD TD 6D 2H JS 8D AD 9S JC KH 3D 2S AS,4,2,6,1,15,1D
7D 2S QS 5S KH KC 4S 2C 9C 4D 7H JS QH,5,3,2,3,11,PASS
QS 7D 2H 6S 4H TC 5H QH 6C TS 3S 8C AC,4,4,1,4,8,PASS
3S 6D JC 2H 7S 2D 3D 3H 6H AD 5D KD KS,3,3,6,1,11,1D
7C 8D 3C TC 6C KH JC 9H 4S AD 8H AC 2S,2,3,2,6,12,1C
KS KD 2S JC 5C 3S 8C 4C TD 7C 9D 7D 5D,3,0,5,5,7,PASS
AD JH 5D 6H KD 4S 7H JC 8D TD QD 5H 8H,1,5,6,1,11,1H
5S 7H 9D 3D KD AD TC 2S 5H 7D 5D 4C JS,3,2,6,2,8,PASS
7S 9D 8S KS QD 5C 5S JD 5H 7H AC AD QC,4,2,4,3,16,1NT
JS 3H KH 9H 8C 4D JC 6C 2D TC 8D 7D JD,1,3,5,4,6,PASS
JC 4S AC 5H 2H 9D 4H 8C KH TH 3C QS QH,2,6,1,4,12,1H
3S JC JS 6H 5H TS 8S AC 8D 9S 2D KD 3D,5,2,4,2,9,PASS
6H 9D TH JC JH 4D AS 5C 2C 7S KH 4C 7H,2,5,2,4,9,PASS
5D 9S 4H 2S 4C 6H KD KH TD 2D 9C KC TH,2,4,4,3,9,PASS
JS 8D KC 6S 3D AD 6D 2C KS AH 9H 9D TH,3,3,5,2,15,1NT
4C 6D TD 5S QH QD 8S JS 6S 3D 9H 4D 4H,4,3,5,1,5,PASS
5S QC TC AH TS 8D 2S 3H 7D KS 2H 5D 7H,4,4,3,2,9,PASS
5S 3S 9S 9C 3C QC 6D 6S 4D JS 3H 3D 7H,5,2,3,3,3,PASS
2C 5C 9C JH AC 7S 2H KC 8D 2D TD QS 5H,2,3,3,5,10,PASS
9D 9S 5S 4D 2C 6H AD 7S JC KC TS QH 4H,4,3,3,3,10,PASS
JD JS TD 6H 6C 9H QC 3C 2S AC 5H 6D 2H,2,4,3,4,8,PASS
8C 6D KC AS QH 6H 7D 9D 4D 7C 5C TD 8H,1,3,5,4,9,PASS
7H AD 3H 3S JH QC TH JD TS 9H KH KC 3C,2,6,2,3,14,1H
KH TS JD TC QS 3D QH 6H 8D 7H KS 2H 7S,4,5,3,1,11,1H
2C 4D QD 4C 9D 7C 4S AS JH QH KD 3H 6C,2,3,4,4,12,1D
KH 7D JC QH 6H 8S 2H 5D 8C KC 3C 6S QS,3,4,2,4,11,PASS
KD 6D 7D KC AS 4H QD 9H 7S 8H JD 4C 2C,2,3,5,3,13,1D
QH AC 6D 5S 7S JH JS 2D 9H 9S 8C 4D 7C,4,3,3,3,8,PASS
3C 9D 3H 4S 5H 9C 6D QD KS AD JS KC 6C,3,2,4,4,13,1D
4C JC 2D AH AC 9H JD 2H 6S TD KH 6C AD,1,4,4,4,17,1D
5S 6D QC TD KC 5C 6S 8S 8H JC TC 4S 5H,4,2,2,5,6,PASS
QC 6S TC 7H KD AC TS 7S JH KH AS 5D 9S,5,3,2,3,17,1S
3S JC TS 4C TC 2D 5S KH AD AC AS QS KD,5,1,3,4,21,1C
7S 3H 7C 9S AS 4D 5D 4S 8C AC 5C 8D 7H,4,2,3,4,8,PASS
AD 9D 7H 8C 9S 2S 2H 5C 2C 4D 4S 5H 3C,3,3,3,4,4,PASS
TS 2S JD 6D JS 8D 2D 5C 4D 6H 4S 9C 9H,4,2,5,2,2,PASS
4D KS 9D QH 7C QC 2H 8C 9S 9H 4H 3D QS,3,4,3,3,9,PASS
AC JD JC 9D 6D 2S 6S 3C KC 5S 2C AD KH,3,1,4,5,16,1D
QC AD 5D AS 9C 3C KD KH 5H 6H TH TS JH,2,5,3,3,17,1H
7C QC TC JS 8D 6H QS KS JC 9C TS 3C TH,4,2,1,6,9,PASS
4H 3C JC TS 8C JD QS AH 5C QH 3S KS TC,4,3,1,5,13,1C
AH 2D 3D 6H QH KD TS 9S JC 9H 7H TC JD,2,5,4,2,11,1H
KS 6C 7S 2D 2C KC TC 8D KH AC 9S 6H 7H,3,3,2,5,13,1C
5D QS 9S 8C TH 7S QH TS 2S JS AD QC 2C,6,2,2,3,11,1S
8C 9C 9S QD AC 2D 6D 7C 7D 4S 6S JS AD,4,0,5,4,11,1D
QC 3D 2C 9H AH 7D 5S 2H AS TD QH 4S 7S,4,4,3,2,12,1C
AD AS AC 7S 9H 9D 2S 5S 8D 2H KH JS 6H,5,4,3,1,16,1S
9H AH 2S 8D 6S 8H 5C 4D 7H JS 9C 8C TD,3,4,3,3,5,PASS
9C 5C AD JH TC TD KD KC AS 2D 8S TS 7S,4,1,4,4,15,1D
QC 6S KS TC 9D KH AS 7H 2H 8D 8C 4H 5S,4,4,2,3,12,1C
QD 2S KS 3S TS 7D 9H 9D KD 4H AC AH QH,4,4,4,1,18,1C
3S 9H 7H 7S 6D 6C 4H 6H 2C TD QS 4D 2H,3,5,3,2,2,PASS
QS 2S QH 6H AH 9C AS 4D TC 8D TS 5S 5H,5,4,2,2,12,1S
8D 6C 6S 5C JD 3S JC JS 7S KD 5S 4S 9C,6,0,3,4,6,2D
7H JS 7D AS 8D 2S 4D 3S 5H 2D KC 6C KS,5,2,4,2,11,1S
KH TH 6H 9H JC 7D 7C 8D 3S 5D QH 3C 2D,1,5,4,3,6,PASS
4S AC 5S JS TC JC 2H 8D 9H 7D 8C 7C 7S,4,2,2,5,6,PASS
KH 5H 3D 9D QC 9H KS JD JC 5C 6C KD AS,2,3,4,4,17,1NT
4S QC JC 3C JD QS 4H KH 5H 3H 7S QH 8C,3,5,1,4,11,1H
4D 6C 6D TD 3C 9C QH AD TS 6S 2S AH KS,4,2,4,3,13,1D
9D 3S 4S TH 5D TD TS 5S JH QC 9S 6C 6S,6,2,3,2,3,PASS
AS TS 5H KC 8D 3C JS QC KS JH 3S 6S KD,6,2,2,3,17,1S
4D TC AS JS QS JC 2S 4S AH 9D 5S 7S QH,7,2,2,2,14,1S
TH JH 3D 5C KS 4C 7H 3C KH 6S QC TS QH,3,5,1,4,11,1H
9H 8H TC QD 8D JC TD 3S 5D 2D KC QS 9S,3,2,5,3,8,PASS
2S AC 4D JD 7H AD 2H 7D JS 6D TH 6C JC,2,3,5,3,11,PASS
7C 3D 7S 7D TH AC TD AD TC QS 6H KD 5H,2,3,5,3,13,1D
2D 7H 7S 3D 9C 5C JS 4D 4H 5S 9S 7D QC,4,2,4,3,3,PASS
7H QS 6S 3S 4S JH AS 8C QD 7C 8D 2S 5H,6,3,2,2,9,2D
QC JS KH 5C 3C 7H 7S 3D 7C 2H TS 8C JD,3,3,2,5,7,PASS
9S QC 6C KH 4H JS AS 5C AD 4S JC 6D 8H,4,3,2,4,15,1NT
9D 7H 3H 4H 8H 6H 7C 6D 5C 6C KD 2D JS,1,5,4,3,4,PASS
6S 8S JH 5D 9S 5H 7S 3C 2D 7C 2H 4D 6D,4,3,4,2,1,PASS
4S TS 3H AH TC QC 3D 2H 4H 7H 5C 2S KH,3,6,1,3,9,2D
4D 6D 8D 7C 4S AH 7H TD 8S QS QH 8C 3D,3,3,5,2,8,PASS
TD JD 6D 6H AS 2D KH 9S AH 8D QS QH 5H,3,5,5,0,16,1H
3D 4D 4C KS 6S 8S 7D 7S AC 2S KC 9C 2H,5,1,3,4,10,PASS
AH 2H QD 3D 6S 9H AD 2C 4D 8D AS TH 2S,3,4,5,1,14,1D
5C 9D 4C 2S 6S QC 3C 8C JS 8H 8D JH 5D,3,2,3,5,4,PASS
9C 5D 9H 6D AC 8D TC 5H 6H 2C 7S AD 2S,2,3,4,4,8,PASS
AS QD 5D 8H 7H 4C 6H 7S 2D TS 9S 4D QS,5,3,4,1,8,PASS
7D JD 9H 9D 2D KC TS 9C 5H 8C 6D 9S KH,2,3,5,3,7,PASS
9H 8H AC QH 5D KD QD 2C 4H 7C 8S 9D 6S,2,4,4,3,11,PASS
5D KC 4H 4D 2H JD 6S 2S 9C 3H 5S TD TS,4,3,4,2,4,PASS
TH 4S 5D JD 9H 7H 2S 7D 2D JC 8C TS 3S,4,3,4,2,2,PASS
5C KC 9C 8H 6C JD QD 7C 9D 4S 7D 6D TC,1,1,5,6,6,PASS
KC 4S 6S TD 9S 8D AS 6H 2D 5C 7H 2C TC,4,2,3,4,7,PASS
8S 9H 2C 7H 7D 8C 7C 6C KC KS 5C 4D 3S,3,2,2,6,6,PASS
KD 6D 2D TC 5C 5S JD KH 3C 3H 4C 8S KS,3,2,4,4,10,PASS
7C 6H 9D 7H 8S 2S 9S JH 3D KS 4C AH 5S,5,4,2,2,8,2C
5D 2D 4S QC 4H 4C JD KC TS KH 3S AC 9S,4,2,3,4,13,1C
9H KH 6D 5H 9C 3H TC 7H QH 2H 2S TD AS,2,7,2,2,9,PASS
JH 4H AS QS 6D 9S TS 5D 2S 3H TH JD 6S,6,4,3,0,8,2C
KC 6H AH 2C 5S AC 4D 8S AD 5C TD 7C 3H,2,3,3,5,15,1NT
5C QC QH KH JC 2C 7D AS 6S 7C 5H 9C KC,2,3,1,7,15,1C
7H TH 8D 9D 3C JD 4D 9S 7C QC 6C 3H 3D,1,3,5,4,3,PASS
4S 6D 7S 4D TD 4C 2S 5H 3S KH 9C 5D 7H,4,3,4,2,3,PASS
3H KC JC 9S 6H 4H 3D TD 6C 2D 6S 9D 6D,2,3,5,3,4,PASS
8S TS AH 4D QC 4H AD 7D 8C 9H JC TD 3D,2,3,5,3,11,PASS
AC AD 6H 6S 2C 9S 8S QC TD JC KH JS 5S,5,2,2,4,15,1S
TS JC 9D 5D QH 5H 9S JD AD 3C 2H QD 7H,2,4,5,2,10,PASS
3C TC 6S 6H 3S QH 4C 7D 4H 9D AD 6C 8C,2,3,3,5,6,PASS
JC 7C 5H 9H 4D 7D 9C QH AS 3S 2D 6S JD,3,3,4,3,8,PASS
4S QS KD 6C 8H 4D 5H AD 7D 6H AC 3S TD,3,3,5,2,13,1D
KH AH 4C KD 2H 5H 8D 5C 7S QS TS 8C 9S,4,4,2,3,12,1C
QH 7D 4S 3H 9D 9C 2H 3D 4H 2D 5D 9H 9S,2,5,5,1,2,PASS
4D 2H 8H 5H JD 4C 6H 9H 5S KD AC 8C 3D,1,5,4,3,8,PASS
9C 8D 6S 4C 9D 4S AC 5S 3S KC 7S 3C 4H,5,1,2,5,7,PASS
9D AD KS JC 5C TD 5H TS JS 7C 4H 3D 5D,3,2,5,3,9,PASS
JC 8H AC 4C TS 6C 7D TD 5C 9C 8C JH TC,1,2,2,8,6,PASS
KC QS 6H 4C 2S 2C TD 7H 8H KS 9H 3H AH,3,6,1,3,12,1H
9H 9S AD 7C KC 8H 7H 3H 7D 6C 8C 2D 9D,1,4,4,4,7,PASS
6S 5C 7H 3S 9D KD KC 7S 2C AS 4S 4D TH,5,2,3,3,10,PASS
2C QC 6H QS 5C 6S 8C 7H JS KS KC 9S TS,6,2,0,5,11,1S
AH 7C 5C QH 3H 6H KS JC 8H 7D 2C 8S JD,2,5,2,4,11,1H
QD 9C 6C 6S KS 7H 6D JC JH 8C 2D 5C KH,2,3,3,5,10,PASS
QS TS JD KH 9S 6S 5H 5D TH 4S 7S 4C 3H,6,4,2,1,6,2C
8D 3H 6S 7H 8H 5C 9C JD 4H AD 6C TD 6D,1,4,5,3,5,PASS
